,ring_distal.R,薬指３.R,右薬指３,RightRing3,RingFinger3_R,Ring Distal_R,c_ring3.r,ring3_ref.r,ring1.r
,little_proximal.R,小指１.R,右小指１,RightPinky1,LittleFinger1_R,Little Proximal_R,c_pinky1.r,pinky1_ref.r,pinky1.r
,little_intermediate.R,小指２.R,右小指２,RightPinky2,LittleFinger2_R,Little Intermediate_R,c_pinky2.r,pinky2_ref.r,pinky1.r
,little_distal.R,小指３.R,右小指３,RightPinky3,LittleFinger3_R,Little Distal_R,c_pinky3.r,pinky3_ref.r,pinky1.r
,upper_leg.L,足.L,左足,LeftUpperLeg,Left leg,Upper Leg_L,c_thigh_fk.l,thigh_ref.l,thigh_twist.l
,lower_leg.L,ひざ.L,左ひざ,LeftLowerLeg,Left knee,Lower Leg_L,c_leg_fk.l,leg_ref.l,leg_twist.l
,foot.L,足首.L,左足首,LeftFoot,Left ankle,Foot_L,c_foot_fk.l,foot_ref.l,foot.l
,toes.L,足先EX.L,左足先EX,LeftToe,Left toe,Toes_L,c_toes_fk.l,toes_ref.l,toes_01.l
,upper_leg.R,足.R,右足,RightUpperLeg,Right leg,Upper Leg_R,c_thigh_fk.r,thigh_ref.r,thigh_twist.r
,lower_leg.R,ひざ.R,右ひざ,RightLowerLeg,Right knee,Lower Leg_R,c_leg_fk.r,leg_ref.r,leg_twist.r
,foot.R,足首.R,右足首,RightFoot,Right ankle,Foot_R,c_foot_fk.r,foot_ref.r,foot.r
,toes.R,足先EX.R,右足先EX,RightToe,Right toe,Toes_R,c_toes_fk.r,toes_ref.r,toes_01.r
